question,ground_truth,contexts,evolution_type
"Theo Điều 108, nội dung quy định về làm thêm giờ trong trường hợp đặc biệt là gì?","Làm thêm giờ trong trường hợp đặc biệt Người sử dụng lao động có quyền yêu cầu người lao động làm thêm giờ vào bất kỳ ngày nào mà không bị giới hạn về số giờ làm thêm theo quy định tại Điều 107 của Bộ luật này và người lao động không được từ chối trong trường hợp sau đây: Thực hiện lệnh động viên, huy động bảo đảm nhiệm vụ quốc phòng, an ninh theo quy định của pháp luật; - 2. Thực hiện các công việc nhằm bảo vệ tính mạng con người, tài sản của cơ quan, tổ chức, cá nhân trong phòng ngừa, khắc phục hậu quả thiên tai, hỏa hoạn, dịch bệnh nguy hiểm và thảm họa, trừ trường hợp có nguy cơ ảnh hưởng đến tính mạng, sức khỏe của người lao động theo quy định của pháp luật về an toàn, vệ sinh lao động.","[""Làm thêm giờ trong trường hợp đặc biệt Người sử dụng lao động có quyền yêu cầu người lao động làm thêm giờ vào bất kỳ ngày nào mà không bị giới hạn về số giờ làm thêm theo quy định tại Điều 107 của Bộ luật này và người lao động không được từ chối trong trường hợp sau đây: Thực hiện lệnh động viên, huy động bảo đảm nhiệm vụ quốc phòng, an ninh theo quy định của pháp luật; - 2. Thực hiện các công việc nhằm bảo vệ tính ""]",simple
"Theo Điều 117, nội dung quy định về kỷ luật lao động là gì?","Kỷ luật lao động Kỷ luật lao động là những quy định về việc tuân theo thời gian, công nghệ và điều hành sản xuất, kinh doanh do người sử dụng lao động ban hành trong nội quy lao động và do pháp luật quy định.","[""Kỷ luật lao động Kỷ luật lao động là những quy định về việc tuân theo thời gian, công nghệ và điều hành sản xuất, kinh doanh do người sử dụng lao động ban hành trong nội quy lao động và do pháp luật quy định.""]",simple
"Theo Điều 125, nội dung quy định về áp dụng hình thức xử lý kỷ luật sa thải là gì?","Áp dụng hình thức xử lý kỷ luật sa thải Hình thức xử lý kỷ luật sa thải được người sử dụng lao động áp dụng trong trường hợp sau đây: Người lao động có hành vi trộm cắp, tham ô, đánh bạc, cố ý gây thương tích, sử dụng ma tuý tại nơi làm việc; - 2. Người lao động có hành vi tiết lộ bí mật kinh doanh, bí mật công nghệ, xâm phạm quyền sở hữu trí tuệ của người sử dụng lao động, có hành vi gây thiệt hại nghiêm trọng hoặc đe dọa gây thiệt hại đặc biệt nghiêm trọng về tài sản, lợi ích của người sử dụng lao động hoặc quấy rối tình dục tại nơi làm việc được quy định trong nội quy lao động; Người lao động bị xử lý kỷ luật kéo dài thời hạn nâng lương hoặc cách chức mà tái phạm trong thời gian chưa xóa kỷ luật.","[""Áp dụng hình thức xử lý kỷ luật sa thải Hình thức xử lý kỷ luật sa thải được người sử dụng lao động áp dụng trong trường hợp sau đây: Người lao động có hành vi trộm cắp, tham ô, đánh bạc, cố ý gây thương tích, sử dụng ma tuý tại nơi làm việc; - 2. Người lao động có hành vi tiết lộ bí mật kinh doanh, bí mật công nghệ, xâm phạm quyền sở hữu trí tuệ của người sử dụng lao động, có hành vi gây thiệt hại nghiêm trọng hoặc ""]",simple
"Theo Điều 133, nội dung quy định về chương trình an toàn, vệ sinh lao động là gì?","Chương trình an toàn, vệ sinh lao động Chính phủ quyết định Chương trình quốc gia về an toàn, vệ sinh lao động. - 2.","[""Chương trình an toàn, vệ sinh lao động Chính phủ quyết định Chương trình quốc gia về an toàn, vệ sinh lao động. - 2. Ủy ban nhân dân cấp tỉnh trình Hội đồng nhân dân cùng cấp quyết định Chương trình an toàn, vệ sinh lao động của địa phương và đưa vào kế hoạch phát triển kinh tế xã hội.""]",simple
"Theo Điều 141, nội dung quy định về trợ cấp trong thời gian chăm sóc con ốm đau, thai sản và thực hiện các biện pháp tránh thai là gì?","Trợ cấp trong thời gian chăm sóc con ốm đau, thai sản và thực hiện các biện pháp tránh thai Thời gian nghỉ việc khi chăm sóc con dưới 07 tuổi ốm đau, khám thai, sẩy thai, nạo, hút thai, thai chết lưu, phá thai bệnh lý, thực hiện các biện pháp tránh thai, triệt sản, người lao động được hưởng trợ cấp theo quy định của pháp luật về bảo hiểm xã hội.","[""Trợ cấp trong thời gian chăm sóc con ốm đau, thai sản và thực hiện các biện pháp tránh thai Thời gian nghỉ việc khi chăm sóc con dưới 07 tuổi ốm đau, khám thai, sẩy thai, nạo, hút thai, thai chết lưu, phá thai bệnh lý, thực hiện các biện pháp tránh thai, triệt sản, người lao động được hưởng trợ cấp theo quy định của pháp luật về bảo hiểm xã hội.""]",simple
"Theo Điều 149, nội dung quy định về sử dụng người lao động cao tuổi là gì?","Sử dụng người lao động cao tuổi Khi sử dụng người lao động cao tuổi, hai bên có thể thỏa thuận giao kết nhiều lần hợp đồng lao động xác định thời hạn. - 2.","[""Sử dụng người lao động cao tuổi Khi sử dụng người lao động cao tuổi, hai bên có thể thỏa thuận giao kết nhiều lần hợp đồng lao động xác định thời hạn. - 2. Khi người lao động cao tuổi đang hưởng lương hưu theo quy định của Luật Bảo hiểm xã hội mà làm việc theo hợp đồng lao động mới thì ngoài quyền lợi đang hưởng theo chế độ hưu trí, người lao động cao tuổi được hưởng tiền lương và các quyền lợi khác theo quy định của""]",simple
"Theo Điều 158, nội dung quy định về chính sách của nhà nước đối với lao động là người khuyết tật là gì?","Chính sách của Nhà nước đối với lao động là người khuyết tật Nhà nước bảo trợ quyền lao động, tự tạo việc làm của người lao động là người khuyết tật; có chính sách khuyến khích, ưu đãi phù hợp đối với người sử dụng lao động trong tạo việc làm và nhận người lao động là người khuyết tật vào làm việc theo quy định của pháp luật về người khuyết tật.","[""Chính sách của Nhà nước đối với lao động là người khuyết tật Nhà nước bảo trợ quyền lao động, tự tạo việc làm của người lao động là người khuyết tật; có chính sách khuyến khích, ưu đãi phù hợp đối với người sử dụng lao động trong tạo việc làm và nhận người lao động là người khuyết tật vào làm việc theo quy định của pháp luật về người khuyết tật.""]",simple
"Theo Điều 166, nội dung quy định về người lao động làm việc trong lĩnh vực nghệ thuật, thể dục, thể thao, hàng hải, hàng không là gì?","Người lao động làm việc trong lĩnh vực nghệ thuật, thể dục, thể thao, hàng hải, hàng không Người lao động làm việc trong lĩnh vực nghệ thuật, thể dục, thể thao, hàng hải, hàng không được áp dụng một số chế độ phù hợp về đào tạo, bồi dưỡng, nâng cao trình độ, kỹ năng nghề; hợp đồng lao động; tiền lương, tiền thưởng; thời giờ làm việc, thời giờ nghỉ ngơi; an toàn, vệ sinh lao động theo quy định của Chính phủ.","[""Người lao động làm việc trong lĩnh vực nghệ thuật, thể dục, thể thao, hàng hải, hàng không Người lao động làm việc trong lĩnh vực nghệ thuật, thể dục, thể thao, hàng hải, hàng không được áp dụng một số chế độ phù hợp về đào tạo, bồi dưỡng, nâng cao trình độ, kỹ năng nghề; hợp đồng lao động; tiền lương, tiền thưởng; thời giờ làm việc, thời giờ nghỉ ngơi; an toàn, vệ sinh lao động theo quy định của Chính phủ.""]",simple
"Theo Điều 176, nội dung quy định về quyền của thành viên ban lãnh đạo của tổ chức đại diện người lao động tại cơ sở là gì?",Quyền của thành viên ban lãnh đạo của tổ chức đại diện người lao động tại cơ sở Thành viên ban lãnh đạo của tổ chức đại diện người lao động tại cơ sở có quyền sau đây: - a) Tiếp cận người lao động tại nơi làm việc trong quá trình thực hiện các nhiệm vụ của tổ chức đại diện người lao động tại cơ sở. Việc thực hiện quyền này phải bảo đảm không ảnh hưởng đến hoạt động bình thường của người sử dụng lao động; - b) Tiếp cận người sử dụng lao động để thực hiện các nhiệm vụ đại diện của tổ chức đại diện người lao động tại cơ sở; - c) Được sử dụng thời gian làm việc theo quy định tại khoản 2 và khoản 3 Điều này để thực hiện công việc của tổ chức đại diện người lao động tại cơ sở mà vẫn được người sử dụng lao động trả lương; - d) Được hưởng các bảo đảm khác trong quan hệ lao động và trong việc thực hiện chức năng đại diện theo quy định của pháp luật.,"[""Quyền của thành viên ban lãnh đạo của tổ chức đại diện người lao động tại cơ sở Thành viên ban lãnh đạo của tổ chức đại diện người lao động tại cơ sở có quyền sau đây: - a) Tiếp cận người lao động tại nơi làm việc trong quá trình thực hiện các nhiệm vụ của tổ chức đại diện người lao động tại cơ sở. Việc thực hiện quyền này phải bảo đảm không ảnh hưởng đến hoạt động bình thường của người sử dụng lao động; - b) Tiếp cậ""]",simple
"Theo Điều 184, nội dung quy định về hòa giải viên lao động là gì?","Hòa giải viên lao động Hòa giải viên lao động là người do Chủ tịch Ủy ban nhân dân cấp tỉnh bổ nhiệm để hòa giải tranh chấp lao động, tranh chấp về hợp đồng đào tạo nghề; hỗ trợ phát triển quan hệ lao động. - 2.","[""Hòa giải viên lao động Hòa giải viên lao động là người do Chủ tịch Ủy ban nhân dân cấp tỉnh bổ nhiệm để hòa giải tranh chấp lao động, tranh chấp về hợp đồng đào tạo nghề; hỗ trợ phát triển quan hệ lao động. - 2. Chính phủ quy định tiêu chuẩn, trình tự, thủ tục bổ nhiệm, chế độ, điều kiện hoạt động và việc quản lý hòa giải viên lao động; thẩm quyền, trình tự, thủ tục cử hòa giải viên lao động.""]",simple
"Theo Điều 192, nội dung quy định về trình tự, thủ tục giải quyết tranh chấp lao động tập thể về quyền là gì?","Trình tự, thủ tục giải quyết tranh chấp lao động tập thể về quyền Trình tự, thủ tục hòa giải tranh chấp lao động tập thể về quyền được thực hiện theo quy định tại các khoản 2, 3, 4, 5 và 6 Điều 188 của Bộ luật này. Đối với tranh chấp quy định tại điểm b và điểm c khoản 2 Điều 179 của Bộ luật này mà xác định có hành vi vi phạm pháp luật thì hòa giải viên lao động lập biên bản và chuyển hồ sơ, tài liệu đến cơ quan có thẩm quyền xem xét, xử lý theo quy định của pháp luật.","[""Trình tự, thủ tục giải quyết tranh chấp lao động tập thể về quyền Trình tự, thủ tục hòa giải tranh chấp lao động tập thể về quyền được thực hiện theo quy định tại các khoản 2, 3, 4, 5 và 6 Điều 188 của Bộ luật này. Đối với tranh chấp quy định tại điểm b và điểm c khoản 2 Điều 179 của Bộ luật này mà xác định có hành vi vi phạm pháp luật thì hòa giải viên lao động lập biên bản và chuyển hồ sơ, tài liệu đến cơ quan có t""]",simple
"Theo Điều 200, nội dung quy định về trình tự đình công là gì?",Trình tự đình công Lấy ý kiến về đình công theo quy định tại Điều 201 của Bộ luật này. - 2.,"[""Trình tự đình công Lấy ý kiến về đình công theo quy định tại Điều 201 của Bộ luật này. - 2. Ra quyết định đình công và thông báo đình công theo quy định tại Điều 202 của Bộ luật này. - 3. Tiến hành đình công.""]",simple
"Theo Điều 54, quy định cụ thể về doanh là bao nhiêu hoặc như thế nào?",Doanh nghiệp cho thuê lại lao động Doanh nghiệp cho thuê lại lao động phải ký quỹ và được cấp Giấy phép hoạt động cho thuê lại lao động. - 2.,"[""Doanh nghiệp cho thuê lại lao động Doanh nghiệp cho thuê lại lao động phải ký quỹ và được cấp Giấy phép hoạt động cho thuê lại lao động. - 2. Chính phủ quy định việc ký quỹ, điều kiện, trình tự, thủ tục cấp, cấp lại, gia hạn, thu hồi Giấy phép hoạt động cho thuê lại lao động và danh mục công việc được thực hiện cho thuê lại lao động. \""Điều 54. Điều kiện hưởng lương hưu Người lao động quy định tại các điểm a, b, c, d,""]",reasoning
"Theo Điều 55, quy định cụ thể về hợp là bao nhiêu hoặc như thế nào?","Hợp đồng cho thuê lại lao động Doanh nghiệp cho thuê lại lao động và bên thuê lại lao động phải ký kết hợp đồng cho thuê lại lao động bằng văn bản và được làm thành 02 bản, mỗi bên giữ 01 bản. - 2.","[""Hợp đồng cho thuê lại lao động Doanh nghiệp cho thuê lại lao động và bên thuê lại lao động phải ký kết hợp đồng cho thuê lại lao động bằng văn bản và được làm thành 02 bản, mỗi bên giữ 01 bản. - 2. Hợp đồng cho thuê lại lao động gồm các nội dung chủ yếu sau đây: - a) Địa điểm làm việc, vị trí việc làm cần sử dụng lao động thuê lại, nội dung cụ thể của công việc, yêu cầu cụ thể đối với người lao động thuê lại; - b) Th""]",reasoning
"Theo Điều 169, quy định cụ thể về tuổi là bao nhiêu hoặc như thế nào?",Tuổi nghỉ hưu Người lao động bảo đảm điều kiện về thời gian đóng bảo hiểm xã hội theo quy định của pháp luật về bảo hiểm xã hội được hưởng lương hưu khi đủ tuổi nghỉ hưu. - 2.,"[""Tuổi nghỉ hưu Người lao động bảo đảm điều kiện về thời gian đóng bảo hiểm xã hội theo quy định của pháp luật về bảo hiểm xã hội được hưởng lương hưu khi đủ tuổi nghỉ hưu. - 2. Tuổi nghi hưu của người lao động trong điều kiện lao động bình thường được điều chỉnh theo lộ trình cho đến khi đủ 62 tuổi đối với lao động nam vào năm 2028 và đủ 60 tuổi đối với lao động nữ vào năm 2035. Kể từ năm 2021, tuổi nghi hưu của người""]",reasoning
"Theo Điều 36, quy định cụ thể về quyền là bao nhiêu hoặc như thế nào?","Quyền đơn phương chấm dứt hợp đồng lao động của người sử dụng lao động Người sử dụng lao động có quyền đơn phương chấm dứt hợp đồng lao động trong trường hợp sau đây: - a) Người lao động thường xuyên không hoàn thành công việc theo hợp đồng lao động được xác định theo tiêu chí đánh giá mức độ hoàn thành công việc trong quy chế của người sử dụng lao động. Quy chế đánh giá mức độ hoàn thành công việc do người sử dụng lao động ban hành nhưng phải tham khảo ý kiến tổ chức đại diện người lao động tại cơ sở đối với nơi có tổ chức đại diện người lao động tại cơ sở; - b) Người lao động bị ốm đau, tai nạn đã điều trị 12 tháng liên tục đối với người làm việc theo hợp đồng lao động không xác định thời hạn hoặc đã điều trị 06 tháng liên tục đối với người làm việc theo hợp đồng lao động xác định thời hạn có thời hạn từ 12 tháng đến 36 tháng hoặc quá nửa thời hạn hợp đồng lao động đối với người làm việc theo hợp đồng lao động xác định thời hạn có thời hạn dưới 12 tháng mà khả năng lao động chưa hồi phục.","[""Quyền đơn phương chấm dứt hợp đồng lao động của người sử dụng lao động Người sử dụng lao động có quyền đơn phương chấm dứt hợp đồng lao động trong trường hợp sau đây: - a) Người lao động thường xuyên không hoàn thành công việc theo hợp đồng lao động được xác định theo tiêu chí đánh giá mức độ hoàn thành công việc trong quy chế của người sử dụng lao động. Quy chế đánh giá mức độ hoàn thành công việc do người sử dụng l""]",reasoning
"Theo Điều 107, quy định cụ thể về thêm là bao nhiêu hoặc như thế nào?","Làm thêm giờ Thời gian làm thêm giờ là khoảng thời gian làm việc ngoài thời giờ làm việc bình thường theo quy định của pháp luật, thỏa ước lao động tập thể hoặc nội quy lao động. - 2.","[""Làm thêm giờ Thời gian làm thêm giờ là khoảng thời gian làm việc ngoài thời giờ làm việc bình thường theo quy định của pháp luật, thỏa ước lao động tập thể hoặc nội quy lao động. - 2. Người sử dụng lao động được sử dụng người lao động làm thêm giờ khi đáp ứng đầy đủ các yêu cầu sau đây: - a) Phải được sự đồng ý của người lao động; - b) Bảo đảm số giờ làm thêm của người lao động không quá 50% số giờ làm việc bình thườ""]",reasoning
"Theo Điều 35, quy định cụ thể về quyền là bao nhiêu hoặc như thế nào?","Quyền đơn phương chấm dứt hợp đồng lao động của người lao động Người lao động có quyền đơn phương chấm dứt hợp đồng lao động nhưng phải báo trước cho người sử dụng lao động như sau: - a) Ít nhất 45 ngày nếu làm việc theo họp đồng lao động không xác định thời hạn; - b) Ít nhất 30 ngày nếu làm việc theo hợp đồng lao động xác định thời hạn có thời hạn từ 12 tháng đến 36 tháng; - c) Ít nhất 03 ngày làm việc nếu làm việc theo hợp đồng lao động xác định thời hạn có thời hạn dưới 12 tháng; - d) Đối với một số ngành, nghề, công việc đặc thù thì thời hạn báo trước được thực hiện theo quy định của Chính phủ. - 2.","[""Quyền đơn phương chấm dứt hợp đồng lao động của người lao động Người lao động có quyền đơn phương chấm dứt hợp đồng lao động nhưng phải báo trước cho người sử dụng lao động như sau: - a) Ít nhất 45 ngày nếu làm việc theo họp đồng lao động không xác định thời hạn; - b) Ít nhất 30 ngày nếu làm việc theo hợp đồng lao động xác định thời hạn có thời hạn từ 12 tháng đến 36 tháng; - c) Ít nhất 03 ngày làm việc nếu làm việc ""]",reasoning
"Theo Điều 185, quy định cụ thể về hội là bao nhiêu hoặc như thế nào?","Hội đồng trọng tài lao động Chủ tịch Ủy ban nhân dân cấp tỉnh quyết định thành lập Hội đồng trọng tài lao động, bổ nhiệm Chủ tịch, thư ký và các trọng tài viên lao động của Hội đồng trọng tài lao động. Nhiệm kỳ của Hội đồng trọng tài lao động là 05 năm.","[""Hội đồng trọng tài lao động Chủ tịch Ủy ban nhân dân cấp tỉnh quyết định thành lập Hội đồng trọng tài lao động, bổ nhiệm Chủ tịch, thư ký và các trọng tài viên lao động của Hội đồng trọng tài lao động. Nhiệm kỳ của Hội đồng trọng tài lao động là 05 năm. - 2. Số lượng trọng tài viên lao động của Hội đồng trọng tài lao động do Chủ tịch Ủy ban nhân dân cấp tỉnh quyết định, ít nhất là 15 người, bao gồm số lượng ngang nha""]",reasoning
