"question_id","question","answer_version","accuracy","relevance","conciseness","helpfulness","overall"
"10","Theo Điều 74, nội dung quy định về trách nhiệm của ủy ban nhân dân cấp tỉnh trong thương lượng tập thể là gì?","A","4","4","4","4","4"
"10","Theo Điều 74, nội dung quy định về trách nhiệm của ủy ban nhân dân cấp tỉnh trong thương lượng tập thể là gì?","B","3","3","5","3","3.5"
"11","Theo Điều 84, nội dung quy định về mở rộng phạm vi áp dụng của thỏa ước lao động tập thể ngành hoặc thỏa ước lao động tập thể có nhiều doanh nghiệp là gì?","A","4","4","4","4","4"
"11","Theo Điều 84, nội dung quy định về mở rộng phạm vi áp dụng của thỏa ước lao động tập thể ngành hoặc thỏa ước lao động tập thể có nhiều doanh nghiệp là gì?","B","4","4","5","4","4.25"
"12","Theo Điều 92, nội dung quy định về hội đồng tiền lương quốc gia là gì?","A","5","5","4","5","4.75"
"12","Theo Điều 92, nội dung quy định về hội đồng tiền lương quốc gia là gì?","B","3","3","5","3","3.5"
"13","Theo Điều 100, nội dung quy định về trả lương thông qua người cai thầu là gì?","A","5","5","4","5","4.75"
"13","Theo Điều 100, nội dung quy định về trả lương thông qua người cai thầu là gì?","B","3","3","5","3","3.5"
"14","Theo Điều 108, nội dung quy định về làm thêm giờ trong trường hợp đặc biệt là gì?","A","4","4","4","4","4"
"14","Theo Điều 108, nội dung quy định về làm thêm giờ trong trường hợp đặc biệt là gì?","B","4","4","5","4","4.25"
"15","Theo Điều 117, nội dung quy định về kỷ luật lao động là gì?","A","5","5","4","5","4.75"
"15","Theo Điều 117, nội dung quy định về kỷ luật lao động là gì?","B","3","3","5","3","3.5"
"16","Theo Điều 125, nội dung quy định về áp dụng hình thức xử lý kỷ luật sa thải là gì?","A","4","4","4","4","4"
"16","Theo Điều 125, nội dung quy định về áp dụng hình thức xử lý kỷ luật sa thải là gì?","B","4","4","5","4","4.25"
"17","Theo Điều 133, nội dung quy định về chương trình an toàn, vệ sinh lao động là gì?","A","5","5","4","5","4.75"
"17","Theo Điều 133, nội dung quy định về chương trình an toàn, vệ sinh lao động là gì?","B","3","3","5","3","3.5"
"18","Theo Điều 141, nội dung quy định về trợ cấp trong thời gian chăm sóc con ốm đau, thai sản và thực hiện các biện pháp tránh thai là gì?","A","4","4","4","4","4"
"18","Theo Điều 141, nội dung quy định về trợ cấp trong thời gian chăm sóc con ốm đau, thai sản và thực hiện các biện pháp tránh thai là gì?","B","3","3","5","3","3.5"
"19","Theo Điều 149, nội dung quy định về sử dụng người lao động cao tuổi là gì?","A","4","4","4","4","4"
"19","Theo Điều 149, nội dung quy định về sử dụng người lao động cao tuổi là gì?","B","4","4","5","4","4.25"
"20","Theo Điều 158, nội dung quy định về chính sách của nhà nước đối với lao động là người khuyết tật là gì?","A","5","5","4","5","4.75"
"20","Theo Điều 158, nội dung quy định về chính sách của nhà nước đối với lao động là người khuyết tật là gì?","B","3","3","5","3","3.5"
"21","Theo Điều 166, nội dung quy định về người lao động làm việc trong lĩnh vực nghệ thuật, thể dục, thể thao, hàng hải, hàng không là gì?","A","5","5","4","5","4.75"
"21","Theo Điều 166, nội dung quy định về người lao động làm việc trong lĩnh vực nghệ thuật, thể dục, thể thao, hàng hải, hàng không là gì?","B","3","3","5","3","3.5"
"22","Theo Điều 176, nội dung quy định về quyền của thành viên ban lãnh đạo của tổ chức đại diện người lao động tại cơ sở là gì?","A","4","4","4","4","4"
"22","Theo Điều 176, nội dung quy định về quyền của thành viên ban lãnh đạo của tổ chức đại diện người lao động tại cơ sở là gì?","B","4","4","5","4","4.25"
"23","Theo Điều 184, nội dung quy định về hòa giải viên lao động là gì?","A","5","5","4","5","4.75"
"23","Theo Điều 184, nội dung quy định về hòa giải viên lao động là gì?","B","3","3","5","3","3.5"
"24","Theo Điều 192, nội dung quy định về trình tự, thủ tục giải quyết tranh chấp lao động tập thể về quyền là gì?","A","4","4","4","4","4"
"24","Theo Điều 192, nội dung quy định về trình tự, thủ tục giải quyết tranh chấp lao động tập thể về quyền là gì?","B","4","4","5","4","4.25"
"25","Theo Điều 200, nội dung quy định về trình tự đình công là gì?","A","4","4","4","4","4"
"25","Theo Điều 200, nội dung quy định về trình tự đình công là gì?","B","3","3","5","3","3.5"
"26","Theo Điều 54, quy định cụ thể về doanh là bao nhiêu hoặc như thế nào?","A","5","5","4","5","4.75"
"26","Theo Điều 54, quy định cụ thể về doanh là bao nhiêu hoặc như thế nào?","B","3","3","5","3","3.5"
"27","Theo Điều 55, quy định cụ thể về hợp là bao nhiêu hoặc như thế nào?","A","4","4","4","4","4"
"27","Theo Điều 55, quy định cụ thể về hợp là bao nhiêu hoặc như thế nào?","B","4","4","5","4","4.25"
"28","Theo Điều 169, quy định cụ thể về tuổi là bao nhiêu hoặc như thế nào?","A","5","5","4","5","4.75"
"28","Theo Điều 169, quy định cụ thể về tuổi là bao nhiêu hoặc như thế nào?","B","3","3","5","3","3.5"
"29","Theo Điều 36, quy định cụ thể về quyền là bao nhiêu hoặc như thế nào?","A","4","4","4","4","4"
"29","Theo Điều 36, quy định cụ thể về quyền là bao nhiêu hoặc như thế nào?","B","4","4","5","4","4.25"
"30","Theo Điều 107, quy định cụ thể về thêm là bao nhiêu hoặc như thế nào?","A","5","5","4","5","4.75"
"30","Theo Điều 107, quy định cụ thể về thêm là bao nhiêu hoặc như thế nào?","B","3","3","5","3","3.5"
